time-(ms)-h-i,voltage-near-axon-(microV)-h-i
-175.027.996.532,-224.291.395.794
-174.828.996.526,-223.946.876.967
-174.629.996.521,-223.940.826.698
-174.430.996.515,-221.595.620.542
-174.231.996.509,-220.574.328.648
-174.032.996.504,-220.336.456.645
-173.833.996.498,-220.051.641.213
-173.634.996.493,-218.154.749.817
-173.435.996.487,-217.819.781.435
-173.236.996.482,-21.455.573.187
-173.037.996.476,-205.011.479.186
-172.838.996.471,-204.903.837.894
-172.639.996.465,-203.792.370.481
-17.244.099.646,-202.784.968.466
-172.241.996.454,-203.332.552.713
-172.042.996.449,-192.910.085.453
-171.843.996.443,-198.751.710.239
-171.644.996.438,-192.979.438.218
-171.445.996.432,-18.976.681.678
-171.246.996.427,-190.442.108.765
-171.047.996.421,-192.037.767.555
-170.848.996.416,-192.762.505.356
-17.064.999.641,-201.982.715.855
-170.450.996.405,-205.291.692.473
-170.251.996.399,-205.180.469.504
-170.052.996.394,-205.450.820.576
-169.853.996.388,-205.606.204.357
-169.654.996.382,-205.504.988.025
-169.455.996.377,-205.846.327.582
-169.256.996.371,-206.382.324.252
-169.057.996.366,-207.369.012.702
-16.885.899.636,-208.955.461.773
-168.659.996.355,-211.263.359.518
-168.460.996.349,-220.873.253.898
-168.261.996.344,-223.616.242.358
-168.062.996.338,-224.941.628.357
-167.863.996.333,-225.117.835.473
-167.664.996.327,-223.222.379.308
-167.465.996.322,-221.188.351.902
-167.266.996.316,-220.991.527.801
-167.067.996.311,-221.033.143.421
-166.868.996.305,-221.179.282.918
-1.666.699.963,-220.820.197.344
-166.470.996.294,-220.748.458.825
-166.271.996.289,-220.722.630.878
-166.072.996.283,-219.135.044.201
-165.873.996.278,-220.927.294.471
-165.674.996.272,-21.464.734.747
-165.475.996.266,-214.973.782.593
-165.276.996.261,-218.457.347.279
-165.077.996.255,-218.366.170.184
-16.487.899.625,-212.812.530.195
-164.679.996.244,-208.786.123.132
-164.480.996.239,-209.284.657.218
-164.281.996.233,-216.774.142.504
-164.082.996.228,-227.040.137.762
-163.883.996.222,-227.993.379.541
-163.684.996.217,-228.422.454.165
-163.485.996.211,-241.564.779.372
-163.286.996.206,-242.027.668.819
-1.630.879.962,-241.930.986.417
-162.888.996.195,-241.934.811.355
-162.689.996.189,-24.335.739.783
-162.490.996.184,-244.490.972.394
-162.291.996.178,-24.441.935.823
-162.092.996.173,-256.641.650.656
-161.893.996.167,-255.119.765.913
-161.694.996.162,-253.913.687.864
-161.495.996.156,-253.612.914.754
-16.129.699.615,-241.131.952.568
-161.097.996.145,-24.045.436.527
-160.898.996.139,-240.385.631.442
-160.699.996.134,-237.778.931.185
-160.500.996.128,-237.582.173.433
-160.301.996.123,-231.514.292.232
-160.102.996.117,-224.830.052.789
-159.903.996.112,-224.795.940.016
-159.704.996.106,-225.047.366.639
-159.505.996.101,-224.981.011.137
-159.306.996.095,-222.617.515.874
-15.910.799.609,-222.089.801.658
-158.908.996.084,-225.049.711.838
-158.709.996.079,-225.779.094.879
-158.510.996.073,-225.974.290.305
-158.311.996.068,-226.305.972.795
-158.112.996.062,-226.385.493.942
-157.913.996.057,-226.456.170.716
-157.714.996.051,-228.897.655.017
-157.515.996.046,-229.337.795.884
-15.731.699.604,-233.144.257.042
-157.117.996.035,-241.029.185.937
-156.918.996.029,-241.363.179.224
-156.719.996.023,-241.281.888.243
-156.520.996.018,-241.356.017.275
-156.321.996.012,-241.016.452.644
-156.122.996.007,-240.706.252.352
-155.923.996.001,-240.322.355.363
-155.724.995.996,-240.173.743.714
-15.552.599.599,-240.333.774.376
-155.326.995.985,-240.640.590.975
-155.127.995.979,-240.635.978.157
-154.928.995.974,-24.110.252.058
-154.729.995.968,-241.017.633.582
-154.530.995.963,-238.996.971.579
-154.331.995.957,-236.976.512.535
-154.132.995.952,-237.018.131.749
-153.933.995.946,-226.670.572.767
-153.734.995.941,-220.531.851.271
-153.535.995.935,-220.385.191.092
-15.333.699.593,-220.090.011.123
-153.137.995.924,-220.031.273.017
-152.938.995.919,-220.138.827.445
-152.739.995.913,-219.271.706.751
-152.540.995.907,-217.646.866.036
-152.341.995.902,-217.206.107.234
-152.142.995.896,-208.065.288.081
-151.943.995.891,-204.953.518.952
-151.744.995.885,-204.946.511.027
-15.154.599.588,-204.987.216.486
-151.346.995.874,-204.559.510.954
-151.147.995.869,-204.938.633.407
-150.948.995.863,-204.424.628.119
