V axon soma stm a-f,Firing modulation soma stm a-f,V axon axon stm a-f,Firing modulation axon stm a-f,V axon soma stm g,Firing modulation soma stm g,V axon axon stm g,Firing modulation axon stm g,time (ms) h-i,voltage near axon (microV) h-i,time (ms) h-i,firing modulation (Hz; green trace) h-i
,,,,,,,,-259.602.998.879,-20.437.397.556,-267.653.667.255,255.134.472.433
,,,,,,,,-259.403.998.873,-204.395.073.368,-267.487.000.589,255.680.719.044
,,,,,,,,-259.204.998.868,-204.588.760.299,-267.320.333.922,256.192.859.922
,,,,,,,,-259.005.998.862,-204.598.544.731,-267.153.667.255,256.675.318.166
,,,,,,,,-258.806.998.857,-204.694.358.191,-266.987.000.589,257.132.222.101
,,,,,,,,-258.607.998.851,-20.485.068.875,-266.820.333.922,257.567.398.412
,,,,,,,,-258.408.998.846,-205.048.317.266,-266.653.667.255,257.984.368.046
,,,,,,,,-25.820.999.884,-205.041.380.758,-266.487.000.589,25.838.634.475
,,,,,,,,-258.010.998.835,-204.988.587.448,-266.320.333.922,258.776.236.123
,,,,,,,,-257.811.998.829,-205.108.223.693,-266.153.667.255,259.156.647.046
,,,,,,,,-257.612.998.824,-20.503.110.557,-265.987.000.589,259.529.885.386
,,,,,,,,-257.413.998.818,-204.904.504.282,-265.820.333.922,259.897.969.841
,,,,,,,,-257.214.998.813,-204.878.293.836,-265.653.667.255,260.262.639.834
,,,,,,,,-257.015.998.807,-204.726.319.604,-265.487.000.589,26.062.536.733
,,,,,,,,-256.816.998.802,-204.708.714.502,-265.320.333.922,260.987.370.482
,,,,,,,,-256.617.998.796,-204.558.107.867,-265.153.667.255,261.349.629
,,,,,,,,-25.641.899.879,-204.491.846.638,-264.987.000.589,261.712.901.135
,,,,,,,,-256.219.998.785,-204.531.344.559,-264.820.333.922,262.077.742.174
,,,,,,,,-256.020.998.779,-204.475.116.213,-264.653.667.255,262.444.524.338
,,,,,,,,-255.821.998.774,-204.252.312.422,-264.487.000.589,262.813.457.975
,,,,,,,,-255.622.998.768,-204.219.850.437,-264.320.333.922,263.184.613.939
,,,,,,,,-255.423.998.763,-204.130.102.682,-264.153.667.255,263.557.947.022
,,,,,,,,-255.224.998.757,-204.180.968.643,-263.987.000.589,263.933.320.346
,,,,,,,,-255.025.998.752,-20.406.826.542,-263.820.333.922,26.431.053.057
,,,,,,,,-254.826.998.746,-204.155.698.101,-263.653.667.255,264.689.333.799
,,,,,,,,-254.627.998.741,-204.082.822.528,-263.487.000.589,265.069.472.064
,,,,,,,,-254.428.998.735,-204.174.201.283,-263.320.333.922,26.545.070.026
,,,,,,,,-25.422.999.873,-204.348.561.187,-263.153.667.255,265.832.813.385
,,,,,,,,-254.030.998.724,-204.224.629.651,-262.987.000.589,266.215.673.988
,,,,,,,,-253.831.998.719,-2.042.597.922,-262.820.333.922,266.599.239.673
,,,,,,,,-253.632.998.713,-204.124.349.286,-262.653.667.255,266.983.590.547
,,,,,,,,-253.433.998.708,-204.251.038.139,-262.487.000.589,26.736.895.648
,,,,,,,,-253.234.998.702,-204.188.537.532,-262.320.333.922,267.755.744.057
,,,,,,,,-253.035.998.697,-204.238.071.361,-262.153.667.255,268.144.563.097
,,,,,,,,-252.836.998.691,-204.193.568.054,-261.987.000.589,268.536.252.605
