V axon soma stm a-f,Firing modulation soma stm a-f,V axon axon stm a-f,Firing modulation axon stm a-f,V axon soma stm g,Firing modulation soma stm g,V axon axon stm g,Firing modulation axon stm g,time (ms) h-i,voltage near axon (microV) h-i,time (ms) h-i,firing modulation (Hz; green trace) h-i
,,,,,,,,-252.637.998.686,-2.042.050.681,-261.820.333.922,268.931.906.038
,,,,,,,,-25.243.899.868,-204.202.699.325,-261.653.667.255,269.332.895.741
,,,,,,,,-252.239.998.674,-204.247.454.486,-261.487.000.589,269.740.896.412
,,,,,,,,-252.040.998.669,-204.161.200.314,-261.320.333.922,270.157.907.446
,,,,,,,,-251.841.998.663,-204.181.142.354,-261.153.667.255,270.586.273.995
,,,,,,,,-251.642.998.658,-204.003.789.911,-260.987.000.589,271.028.706.555
,,,,,,,,-251.443.998.652,-204.121.223.906,-260.820.333.922,271.488.298.898
,,,,,,,,-251.244.998.647,-204.086.744.381,-260.653.667.255,271.968.544.123
,,,,,,,,-251.045.998.641,-20.415.890.217,-260.487.000.589,27.247.334.859
,,,,,,,,-250.846.998.636,-204.092.705.141,-260.320.333.922,273.007.043.493
,,,,,,,,-25.064.799.863,-204.151.832.245,-260.153.667.255,273.574.393.773
,,,,,,,,-250.448.998.625,-204.164.316.964,-259.987.000.589,274.180.604.096
,,,,,,,,-250.249.998.619,-204.328.355.015,-259.820.333.922,274.831.321.554
,,,,,,,,-250.050.998.614,-204.292.006.067,-259.653.667.255,275.532.634.778
,,,,,,,,-249.851.998.608,-204.395.427.617,-259.487.000.589,276.291.069.104
,,,,,,,,-249.652.998.603,-204.446.977.497,-259.320.333.922,277.113.577.451
,,,,,,,,-249.453.998.597,-204.591.648.413,-259.153.667.255,278.007.526.561
,,,,,,,,-249.254.998.592,-204.567.835.297,-258.987.000.589,278.980.678.261
,,,,,,,,-249.055.998.586,-204.809.201.693,-258.820.333.922,280.041.165.431
,,,,,,,,-248.856.998.581,-204.820.597.772,-258.653.667.255,281.197.462.382
,,,,,,,,-248.657.998.575,-204.997.595.697,-258.487.000.589,282.458.349.404
,,,,,,,,-24.845.899.857,-205.160.598.322,-258.320.333.922,283.832.871.276
,,,,,,,,-248.259.998.564,-205.153.328.497,-258.153.667.255,285.330.289.605
,,,,,,,,-248.060.998.559,-205.086.976.056,-257.987.000.589,286.960.028.943
,,,,,,,,-247.861.998.553,-205.081.171.398,-257.820.333.922,288.731.616.693
,,,,,,,,-247.662.998.547,-204.921.477.626,-257.653.667.255,290.654.616.946
,,,,,,,,-247.463.998.542,-204.923.887.984,-257.487.000.589,292.738.558.467
,,,,,,,,-247.264.998.536,-204.764.659.045,-257.320.333.922,29.499.285.718
,,,,,,,,-247.065.998.531,-204.826.233.192,-257.153.667.255,297.426.733.615
,,,,,,,,-246.866.998.525,-204.680.962.351,-256.987.000.589,300.049.125.914
,,,,,,,,-24.666.799.852,-204.605.021.856,-256.820.333.922,302.868.599.101
,,,,,,,,-246.468.998.514,-204.536.174.115,-256.653.667.255,305.893.251.455
,,,,,,,,-246.269.998.509,-204.390.908.511,-256.487.000.589,309.130.618.949
,,,,,,,,-246.070.998.503,-204.322.235.612,-256.320.333.922,312.587.578.817
,,,,,,,,-245.871.998.498,-204.119.693.802,-256.153.667.255,316.270.253.406
,,,,,,,,-245.672.998.492,-204.134.738.759,-255.987.000.589,320.183.915.583
,,,,,,,,-245.473.998.487,-20.404.616.713,-255.820.333.922,324.332.896.994
,,,,,,,,-245.274.998.481,-204.112.582.871,-255.653.667.255,32.872.050.055
,,,,,,,,-245.075.998.476,-204.057.543.031,-255.487.000.589,333.348.918.532
,,,,,,,,-24.487.699.847,-20.416.583.234,-255.320.333.922,338.219.157.693
,,,,,,,,-244.677.998.465,-204.206.707.378,-255.153.667.255,343.330.972.729
,,,,,,,,-244.478.998.459,-204.360.410.925,-254.987.000.589,348.682.809.421
,,,,,,,,-244.279.998.454,-204.310.375.106,-254.820.333.922,354.271.758.674
,,,,,,,,-244.080.998.448,-204.309.952.186,-254.653.667.255,360.093.522.577
,,,,,,,,-243.881.998.443,-204.244.602.018,-254.487.000.589,366.142.393.444
,,,,,,,,-243.682.998.437,-204.461.594.232,-254.320.333.922,372.411.246.682
,,,,,,,,-243.483.998.431,-204.293.158.152,-254.153.667.255,378.891.548.096
,,,,,,,,-243.284.998.426,-204.432.099.275,-253.987.000.589,385.573.376.083
,,,,,,,,-24.308.599.842,-204.930.435.653,-253.820.333.922,392.445.458.907
,,,,,,,,-242.886.998.415,-205.071.936.449,-253.653.667.255,399.495.227.054
,,,,,,,,-242.687.998.409,-20.488.916.257,-253.487.000.589,406.708.880.399
,,,,,,,,-242.488.998.404,-204.907.058.448,-253.320.333.922,414.071.469.688
,,,,,,,,-242.289.998.398,-204.852.290.844,-253.153.667.255,421.566.991.595
,,,,,,,,-242.090.998.393,-204.891.922.833,-252.987.000.589,429.178.496.389
,,,,,,,,-241.891.998.387,-204.904.140.852,-252.820.333.922,436.888.207.023
,,,,,,,,-241.692.998.382,-204.916.635.647,-252.653.667.255,444.677.648.245
,,,,,,,,-241.493.998.376,-204.882.150.517,-252.487.000.589,452.527.784.191
,,,,,,,,-241.294.998.371,-204.924.670.847,-252.320.333.922,460.419.162.716
,,,,,,,,-241.095.998.365,-204.792.662.294,-252.153.667.255,468.332.064.634
,,,,,,,,-24.089.699.836,-20.497.797.366,-251.987.000.589,476.246.655.945
,,,,,,,,-240.697.998.354,-204.891.941.113,-251.820.333.922,484.143.141.059
,,,,,,,,-240.498.998.349,-204.985.654.882,-251.653.667.255,492.001.915.018
,,,,,,,,-240.299.998.343,-204.932.393.999,-251.487.000.589,499.803.712.747
,,,,,,,,-240.100.998.338,-205.077.104.408,-251.320.333.922,507.529.753.398
,,,,,,,,-239.901.998.332,-205.041.124.358,-251.153.667.255,515.161.877.969
,,,,,,,,-239.702.998.327,-205.189.891.033,-250.987.000.589,522.682.678.485
,,,,,,,,-239.503.998.321,-20.526.699.998,-250.820.333.922,530.075.617.192
,,,,,,,,-239.304.998.316,-205.406.299.525,-250.653.667.255,537.325.134.404
,,,,,,,,-23.910.599.831,-205.470.826.682,-250.487.000.589,544.416.743.823
,,,,,,,,-238.906.998.304,-205.583.767.273,-250.320.333.922,551.337.114.414
,,,,,,,,-238.707.998.299,-205.717.720.017,-250.153.667.255,558.074.138.112
,,,,,,,,-238.508.998.293,-205.868.529.548,-249.987.000.589,564.616.982.914
,,,,,,,,-238.309.998.288,-205.843.965.333,-249.820.333.922,570.956.131.136
,,,,,,,,-238.110.998.282,-205.807.086.846,-249.653.667.255,577.083.402.864
,,,,,,,,-237.911.998.277,-205.823.597.791,-249.487.000.589,582.991.964.868
,,,,,,,,-237.712.998.271,-205.867.873.852,-249.320.333.922,588.676.325.458
,,,,,,,,-237.513.998.266,-205.739.791.841,-249.153.667.255,594.132.315.994
,,,,,,,,-23.731.499.826,-205.613.266.279,-248.987.000.589,599.357.059.899
,,,,,,,,-237.115.998.255,-205.531.172.103,-248.820.333.922,604.348.930.238
,,,,,,,,-236.916.998.249,-205.414.100.349,-248.653.667.255,609.107.497.027
,,,,,,,,-236.717.998.244,-205.414.933.222,-248.487.000.589,613.633.465.546
,,,,,,,,-236.518.998.238,-205.373.053.044,-248.320.333.922,617.928.607.011
,,,,,,,,-236.319.998.233,-205.306.045.964,-248.153.667.255,621.995.683.008
,,,,,,,,-236.120.998.227,-205.208.684.773,-247.987.000.589,625.838.365.106
,,,,,,,,-235.921.998.222,-205.109.854.362,-247.820.333.922,629.461.151.038
,,,,,,,,-235.722.998.216,-204.892.706.185,-247.653.667.255,632.869.278.842
,,,,,,,,-235.523.998.211,-204.866.862.901,-247.487.000.589,636.068.640.235
,,,,,,,,-235.324.998.205,-204.734.026.934,-247.320.333.922,639.065.694.462
,,,,,,,,-2.351.259.982,-204.811.115.352,-247.153.667.255,641.867.383.716
,,,,,,,,-234.926.998.194,-204.745.964.288,-246.987.000.589,644.481.051.139
,,,,,,,,-234.727.998.188,-204.914.012.735,-246.820.333.922,646.914.362.262
,,,,,,,,-234.528.998.183,-204.920.546.046,-246.653.667.255,649.175.230.616
,,,,,,,,-234.329.998.177,-204.998.143.574,-246.487.000.589,651.271.748.097
,,,,,,,,-234.130.998.172,-204.964.242.288,-246.320.333.922,653.212.120.536
,,,,,,,,-233.931.998.166,-205.083.907.732,-246.153.667.255,655.004.608.772
,,,,,,,,-233.732.998.161,-205.035.678.287,-245.987.000.589,656.657.475.407
,,,,,,,,-233.533.998.155,-205.057.377.537,-245.820.333.922,658.178.937.276
,,,,,,,,-23.333.499.815,-204.964.788.119,-245.653.667.255,659.577.123.572
,,,,,,,,-233.135.998.144,-205.012.527.915,-245.487.000.589,660.860.039.456
,,,,,,,,-232.936.998.139,-204.933.723.177,-245.320.333.922,662.035.534.883
,,,,,,,,-232.737.998.133,-205.052.716.613,-245.153.667.255,663.111.278.325
,,,,,,,,-232.538.998.128,-204.918.863.814,-244.987.000.589,664.094.734.991
,,,,,,,,-232.339.998.122,-205.028.280.194,-244.820.333.922,664.993.149.126
,,,,,,,,-232.140.998.117,-204.912.064.996,-244.653.667.255,665.813.529.922
,,,,,,,,-231.941.998.111,-205.007.648.878,-244.487.000.589,666.562.640.592
,,,,,,,,-231.742.998.106,-204.833.549.168,-244.320.333.922,667.246.990.128
,,,,,,,,-2.315.439.981,-204.890.566.428,-244.153.667.255,667.872.827.308
,,,,,,,,-231.344.998.095,-204.908.807.369,-243.987.000.589,668.446.136.527
,,,,,,,,-231.145.998.089,-204.953.215.286,-243.820.333.922,668.972.635.066
,,,,,,,,-230.946.998.084,-204.858.565.998,-243.653.667.255,669.457.771.467
,,,,,,,,-230.747.998.078,-204.963.235.516,-243.487.000.589,669.906.724.698
,,,,,,,,-230.548.998.072,-204.835.651.817,-243.320.333.922,670.324.403.895
,,,,,,,,-230.349.998.067,-204.973.884.648,-243.153.667.255,670.715.448.462
,,,,,,,,-230.150.998.061,-20.518.230.027,-242.987.000.589,671.084.228.411
,,,,,,,,-229.951.998.056,-205.080.825.354,-242.820.333.922,671.434.844.851
,,,,,,,,-22.975.299.805,-205.286.675.309,-242.653.667.255,671.771.130.577
,,,,,,,,-229.553.998.045,-205.381.223.125,-242.487.000.589,672.096.650.778
,,,,,,,,-229.354.998.039,-205.449.221.223,-242.320.333.922,672.414.703.894
,,,,,,,,-229.155.998.034,-205.562.505.277,-242.153.667.255,672.728.322.691
,,,,,,,,-228.956.998.028,-205.781.389.539,-241.987.000.589,673.040.275.659
,,,,,,,,-228.757.998.023,-205.861.689.131,-241.820.333.922,673.353.068.836
,,,,,,,,-228.558.998.017,-20.592.876.516,-241.653.667.255,673.668.948.172
,,,,,,,,-228.359.998.012,-205.865.760.613,-241.487.000.589,673.989.902.575
,,,,,,,,-228.160.998.006,-205.840.528.988,-241.320.333.922,674.317.667.724
,,,,,,,,-227.961.998.001,-205.800.667.062,-241.153.667.255,674.653.730.782
,,,,,,,,-227.762.997.995,-205.796.896.346,-240.987.000.589,674.999.336.084
,,,,,,,,-22.756.399.799,-205.575.029.699,-240.820.333.922,675.355.491.855
,,,,,,,,-227.364.997.984,-205.551.182.267,-240.653.667.255,675.722.978.019
,,,,,,,,-227.165.997.979,-205.535.586.392,-240.487.000.589,676.102.355.095
,,,,,,,,-226.966.997.973,-205.435.101.542,-240.320.333.922,676.493.974.169
,,,,,,,,-226.767.997.968,-205.347.092.164,-240.153.667.255,676.897.987.884
,,,,,,,,-226.568.997.962,-2.052.144.654,-239.987.000.589,677.314.362.387
,,,,,,,,-226.369.997.957,-205.181.742.189,-239.820.333.922,6.777.428.901
,,,,,,,,-226.170.997.951,-205.091.752.824,-239.653.667.255,678.183.203.209
,,,,,,,,-225.971.997.945,-204.988.977.708,-239.487.000.589,678.634.787.696
,,,,,,,,-22.577.299.794,-204.981.415.843,-239.320.333.922,679.096.997.748
,,,,,,,,-225.573.997.934,-204.845.617.927,-239.153.667.255,679.569.070.354
,,,,,,,,-225.374.997.929,-204.800.473.401,-238.987.000.589,680.050.139.891
,,,,,,,,-225.175.997.923,-204.817.947.717,-238.820.333.922,680.539.252.506
,,,,,,,,-224.976.997.918,-205.029.441.837,-238.653.667.255,681.035.380.084
,,,,,,,,-224.777.997.912,-204.935.773.388,-238.487.000.589,681.537.433.623
,,,,,,,,-224.578.997.907,-205.025.881.737,-238.320.333.922,682.044.275.833
,,,,,,,,-224.379.997.901,-205.022.684.692,-238.153.667.255,682.554.732.807
,,,,,,,,-224.180.997.896,-205.147.815.134,-237.987.000.589,683.067.604.616
,,,,,,,,-22.398.199.789,-205.094.510.426,-237.820.333.922,683.581.674.732
,,,,,,,,-223.782.997.885,-205.114.078.481,-237.653.667.255,684.095.718.187
,,,,,,,,-223.583.997.879,-205.000.345.896,-237.487.000.589,684.608.508.432
,,,,,,,,-223.384.997.874,-20.494.171.653,-237.320.333.922,685.118.822.872
,,,,,,,,-223.185.997.868,-204.954.090.873,-237.153.667.255,685.625.447.109
,,,,,,,,-222.986.997.863,-205.005.794.885,-236.987.000.589,686.127.177.934
,,,,,,,,-222.787.997.857,-204.947.002.142,-236.820.333.922,68.662.282.517
,,,,,,,,-222.588.997.852,-20.490.268.486,-236.653.667.255,687.111.212.475
,,,,,,,,-222.389.997.846,-204.825.360.165,-236.487.000.589,687.591.177.252
,,,,,,,,-222.190.997.841,-204.996.144.193,-236.320.333.922,688.061.569.845
,,,,,,,,-221.991.997.835,-204.892.470.922,-236.153.667.255,688.521.252.192
,,,,,,,,-221.792.997.829,-204.907.672.624,-235.987.000.589,688.969.096.158
,,,,,,,,-221.593.997.824,-204.861.680.068,-235.820.333.922,689.403.981.743
,,,,,,,,-221.394.997.818,-204.955.549.451,-235.653.667.255,689.824.795.384
,,,,,,,,-221.195.997.813,-205.014.812.331,-235.487.000.589,69.023.042.856
,,,,,,,,-220.996.997.807,-205.047.834.056,-235.320.333.922,690.619.776.905
,,,,,,,,-220.797.997.802,-204.933.802.484,-235.153.667.255,690.991.739.995
,,,,,,,,-220.598.997.796,-205.022.654.841,-234.987.000.589,691.345.221.995
,,,,,,,,-220.399.997.791,-205.084.594.809,-234.820.333.922,691.679.133.275
,,,,,,,,-220.200.997.785,-205.044.439.561,-234.653.667.255,691.992.393.123
,,,,,,,,-22.000.199.778,-205.115.969.645,-234.487.000.589,692.283.933.608
,,,,,,,,-219.802.997.774,-205.210.040.673,-234.320.333.922,692.552.704.627
,,,,,,,,-219.603.997.769,-205.325.983.248,-234.153.667.255,692.797.680.137
,,,,,,,,-219.404.997.763,-20.542.215.632,-233.987.000.589,693.017.865.515
,,,,,,,,-219.205.997.758,-205.583.048.428,-233.820.333.922,69.321.230.596
,,,,,,,,-219.006.997.752,-205.802.975.326,-233.653.667.255,693.380.095.818
,,,,,,,,-218.807.997.747,-20.851.558.792,-233.487.000.589,693.520.388.663
,,,,,,,,-218.608.997.741,-209.455.829.331,-233.320.333.922,69.363.240.794
,,,,,,,,-218.409.997.736,-214.450.028.956,-233.153.667.255,693.715.457.956
,,,,,,,,-21.821.099.773,-222.110.527.392,-232.987.000.589,693.768.934.971
,,,,,,,,-218.011.997.725,-222.345.137.628,-232.820.333.922,693.792.338.137
,,,,,,,,-217.812.997.719,-222.283.680.682,-232.653.667.255,693.785.280.012
,,,,,,,,-217.613.997.713,-219.855.607.211,-232.487.000.589,693.747.496.382
,,,,,,,,-217.414.997.708,-220.876.625.695,-232.320.333.922,693.678.855.135
,,,,,,,,-217.215.997.702,-217.653.506.943,-232.153.667.255,693.579.363.924
,,,,,,,,-217.016.997.697,-209.566.987.047,-231.987.000.589,693.449.176.396
,,,,,,,,-216.817.997.691,-219.705.702.853,-231.820.333.922,69.328.859.679
,,,,,,,,-216.618.997.686,-222.143.520.359,-231.653.667.255,69.309.808.271
,,,,,,,,-21.641.999.768,-22.458.142.059,-231.487.000.589,692.878.245.965
,,,,,,,,-216.220.997.675,-225.406.133.039,-231.320.333.922,692.629.851.372
,,,,,,,,-216.021.997.669,-225.563.185.833,-231.153.667.255,692.353.813.477
,,,,,,,,-215.822.997.664,-225.449.034.525,-230.987.000.589,692.051.191.203
,,,,,,,,-215.623.997.658,-225.271.750.387,-230.820.333.922,691.723.180.473
,,,,,,,,-215.424.997.653,-226.223.244.167,-230.653.667.255,691.371.104.912
,,,,,,,,-215.225.997.647,-228.318.083.699,-230.487.000.589,690.996.404.777
,,,,,,,,-215.026.997.642,-2.288.778.698,-230.320.333.922,690.600.624.308
,,,,,,,,-214.827.997.636,-238.544.087.488,-230.153.667.255,690.185.397.733
,,,,,,,,-214.628.997.631,-241.672.201.015,-229.987.000.589,689.752.434.193
,,,,,,,,-214.429.997.625,-2.420.208.814,-229.820.333.922,689.303.501.897
,,,,,,,,-21.423.099.762,-242.117.831.428,-229.653.667.255,688.840.411.805
,,,,,,,,-214.031.997.614,-242.107.357.036,-229.487.000.589,688.365.001.191
,,,,,,,,-213.832.997.609,-244.109.940.621,-229.320.333.922,687.879.117.415
,,,,,,,,-213.633.997.603,-243.877.988.227,-229.153.667.255,687.384.602.233
,,,,,,,,-213.434.997.598,-244.968.320.519,-228.987.000.589,686.883.276.987
,,,,,,,,-213.235.997.592,-254.285.889.361,-228.820.333.922,686.376.928.949
,,,,,,,,-213.036.997.586,-244.687.793.215,-228.653.667.255,685.867.299.115
,,,,,,,,-212.837.997.581,-240.930.651.225,-228.487.000.589,685.356.071.676
,,,,,,,,-212.638.997.575,-241.017.193.986,-228.320.333.922,684.844.865.358
,,,,,,,,-21.243.999.757,-240.844.350.837,-228.153.667.255,684.335.226.775
,,,,,,,,-212.240.997.564,-240.839.483.072,-227.987.000.589,683.828.625.895
,,,,,,,,-212.041.997.559,-240.844.204.781,-227.820.333.922,683.326.453.637
,,,,,,,,-211.842.997.553,-24.086.022.062,-227.653.667.255,682.830.021.597
,,,,,,,,-211.643.997.548,-240.890.648.911,-227.487.000.589,682.340.563.794
,,,,,,,,-211.444.997.542,-240.531.533.778,-227.320.333.922,681.859.240.324
,,,,,,,,-211.245.997.537,-240.781.796.997,-227.153.667.255,681.387.142.707
,,,,,,,,-211.046.997.531,-240.660.246.571,-226.987.000.589,680.925.300.691
,,,,,,,,-210.847.997.526,-241.136.645.935,-226.820.333.922,680.474.690.233
,,,,,,,,-21.064.899.752,-241.406.078.229,-226.653.667.255,68.003.624.232
,,,,,,,,-210.449.997.515,-241.429.192.238,-226.487.000.589,679.610.852.279
,,,,,,,,-210.250.997.509,-240.817.977.526,-226.320.333.922,67.919.938.921
,,,,,,,,-210.051.997.504,-241.000.720.885,-226.153.667.255,678.802.705.154
,,,,,,,,-209.852.997.498,-241.140.323.167,-225.987.000.589,678.421.643.615
,,,,,,,,-209.653.997.493,-241.180.389.778,-225.820.333.922,67.805.704.706
,,,,,,,,-209.454.997.487,-241.427.694.378,-225.653.667.255,677.709.763.062
,,,,,,,,-209.255.997.482,-24.155.539.897,-225.487.000.589,677.380.648.752
,,,,,,,,-209.056.997.476,-240.710.211.642,-225.320.333.922,677.070.573.309
,,,,,,,,-20.885.799.747,-239.032.963.883,-225.153.667.255,676.780.418.277
,,,,,,,,-208.658.997.465,-239.041.969.257,-224.987.000.589,67.651.107.551
,,,,,,,,-208.459.997.459,-230.450.923.278,-224.820.333.922,676.263.442.676
,,,,,,,,-208.260.997.454,-226.222.133.369,-224.653.667.255,67.603.841.625
,,,,,,,,-208.061.997.448,-225.919.889.207,-224.487.000.589,675.836.882.058
,,,,,,,,-207.862.997.443,-225.906.116.156,-224.320.333.922,675.659.703.463
,,,,,,,,-207.663.997.437,-225.797.870.269,-224.153.667.255,675.507.707.378
,,,,,,,,-207.464.997.432,-22.576.410.738,-223.987.000.589,675.381.668.354
,,,,,,,,-207.265.997.426,-22.584.193.246,-223.820.333.922,675.282.291.061
,,,,,,,,-207.066.997.421,-225.577.267.704,-223.653.667.255,675.210.191.525
,,,,,,,,-206.867.997.415,-2.258.777.322,-223.487.000.589,675.165.877.555
,,,,,,,,-20.666.899.741,-225.947.446.629,-223.320.333.922,675.149.728.816
,,,,,,,,-206.469.997.404,-225.808.185.334,-223.153.667.255,675.161.977.052
,,,,,,,,-206.270.997.399,-225.270.821.139,-222.987.000.589,675.202.686.974
,,,,,,,,-206.071.997.393,-225.080.793.082,-222.820.333.922,675.271.738.333
,,,,,,,,-205.872.997.388,-22.491.201.409,-222.653.667.255,6.753.688.097
,,,,,,,,-205.673.997.382,-224.821.621.066,-222.487.000.589,675.493.364.453
,,,,,,,,-205.474.997.377,-22.477.862.816,-222.320.333.922,675.644.639.444
,,,,,,,,-205.275.997.371,-224.937.093.795,-222.153.667.255,675.821.636.764
,,,,,,,,-205.076.997.366,-22.523.929.983,-221.987.000.589,676.023.118.994
,,,,,,,,-20.487.799.736,-225.341.366.712,-221.820.333.922,676.247.608.233
,,,,,,,,-204.678.997.355,-22.574.296.936,-221.653.667.255,676.493.389.159
,,,,,,,,-204.479.997.349,-225.921.962.494,-221.487.000.589,676.758.516.252
,,,,,,,,-204.280.997.343,-227.842.110.489,-221.320.333.922,677.040.825.272
,,,,,,,,-204.081.997.338,-228.682.516.814,-221.153.667.255,677.337.948.959
,,,,,,,,-203.882.997.332,-229.100.753.282,-220.987.000.589,677.647.336.838
,,,,,,,,-203.683.997.327,-24.173.896.274,-220.820.333.922,677.966.278.936
,,,,,,,,-203.484.997.321,-241.533.874.902,-220.653.667.255,678.291.933.112
,,,,,,,,-203.285.997.316,-241.784.794.687,-220.487.000.589,67.862.135.563
,,,,,,,,-20.308.699.731,-242.817.248.286,-220.320.333.922,678.951.534.514
,,,,,,,,-202.887.997.305,-244.398.809.304,-220.153.667.255,679.279.425.179
,,,,,,,,-202.688.997.299,-245.723.633.125,-219.987.000.589,679.601.987.741
,,,,,,,,-202.489.997.294,-248.491.632.434,-219.820.333.922,679.916.225.402
,,,,,,,,-202.290.997.288,-261.185.072.157,-219.653.667.255,680.219.223.222
,,,,,,,,-202.091.997.283,-261.481.810.848,-219.487.000.589,680.508.186.634
,,,,,,,,-201.892.997.277,-26.157.038.004,-219.320.333.922,680.780.478.971
,,,,,,,,-201.693.997.272,-262.060.626.227,-219.153.667.255,681.033.657.371
,,,,,,,,-201.494.997.266,-262.663.073.537,-218.987.000.589,681.265.506.359
,,,,,,,,-201.295.997.261,-26.322.978.753,-218.820.333.922,681.474.068.517
,,,,,,,,-201.096.997.255,-270.463.691.775,-218.653.667.255,681.657.671.646
,,,,,,,,-20.089.799.725,-263.164.602.218,-218.487.000.589,681.814.951.922
,,,,,,,,-200.698.997.244,-274.191.853.372,-218.320.333.922,681.944.872.588
,,,,,,,,-200.499.997.239,-275.648.539.944,-218.153.667.255,682.046.737.835
,,,,,,,,-200.300.997.233,-264.648.752.234,-217.987.000.589,682.120.201.589
,,,,,,,,-200.101.997.227,-26.468.628.261,-217.820.333.922,682.165.271.031
,,,,,,,,-199.902.997.222,-282.096.725.597,-217.653.667.255,68.218.230.476
,,,,,,,,-199.703.997.216,-277.631.367.768,-217.487.000.589,682.172.005.628
,,,,,,,,-199.504.997.211,-278.064.061.103,-217.320.333.922,682.135.408.348
,,,,,,,,-199.305.997.205,-278.390.263.146,-217.153.667.255,682.073.862.097
,,,,,,,,-1.991.069.972,-278.215.737.096,-216.987.000.589,681.989.008.419
,,,,,,,,-198.907.997.194,-278.247.008.585,-216.820.333.922,681.882.754.806
,,,,,,,,-198.708.997.189,-278.411.014.696,-216.653.667.255,681.757.244.435
,,,,,,,,-198.509.997.183,-278.207.273.531,-216.487.000.589,681.614.822.582
,,,,,,,,-198.310.997.178,-278.295.483.222,-216.320.333.922,681.458.000.313
,,,,,,,,-198.111.997.172,-278.431.349.801,-216.153.667.255,681.289.416.077
,,,,,,,,-197.912.997.167,-278.868.710.621,-215.987.000.589,681.111.795.872
,,,,,,,,-197.713.997.161,-279.706.983.043,-215.820.333.922,680.927.912.663
,,,,,,,,-197.514.997.156,-283.414.344.785,-215.653.667.255,680.740.545.737
,,,,,,,,-19.731.599.715,-284.225.211.137,-215.487.000.589,680.552.440.681
,,,,,,,,-197.116.997.145,-29.240.310.806,-215.320.333.922,680.366.270.631
,,,,,,,,-196.917.997.139,-291.208.446.562,-215.153.667.255,680.184.599.415
,,,,,,,,-196.718.997.134,-290.956.397.107,-214.987.000.589,680.009.847.168
,,,,,,,,-196.519.997.128,-286.624.435.692,-214.820.333.922,679.844.258.935
,,,,,,,,-196.320.997.123,-277.341.855.748,-214.653.667.255,679.689.876.711
,,,,,,,,-196.121.997.117,-269.563.500.555,-214.487.000.589,679.548.515.311
,,,,,,,,-195.922.997.111,-276.892.779.705,-214.320.333.922,679.421.742.352
,,,,,,,,-195.723.997.106,-276.643.389.191,-214.153.667.255,679.310.862.581
,,,,,,,,-1.955.249.971,-276.211.580.157,-213.987.000.589,679.216.906.676
