time-(ms)-h-i,firing-modulation-(Hz-green-trace)-h-i
-191.820.333.922,677.048.202.293
-191.653.667.255,676.608.824.588
-191.487.000.589,676.181.314.726
-191.320.333.922,675.767.224.777
-191.153.667.255,675.367.926.332
-190.987.000.589,674.984.599.065
-190.820.333.922,674.618.221.535
-190.653.667.255,674.269.564.365
-190.487.000.589,673.939.185.919
-190.320.333.922,673.627.430.546
-190.153.667.255,673.334.429.444
-189.987.000.589,673.060.104.144
-189.820.333.922,672.804.172.578
-189.653.667.255,672.566.157.671
-189.487.000.589,672.345.398.341
-189.320.333.922,672.141.062.769
-189.153.667.255,671.952.163.748
-188.987.000.589,671.777.575.909
-188.820.333.922,671.616.054.584
-188.653.667.255,671.466.256.028
-188.487.000.589,671.326.758.716
-188.320.333.922,67.119.608.541
-188.153.667.255,671.072.725.674
-187.987.000.589,670.955.158.501
-187.820.333.922,670.841.874.729
-187.653.667.255,670.731.398.923
-187.487.000.589,670.622.310.382
-187.320.333.922,670.513.262.979
-187.153.667.255,67.040.300.354
-186.987.000.589,67.029.038.849
-186.820.333.922,670.174.398.527
-186.653.667.255,670.054.151.114
-186.487.000.589,669.928.910.613
-186.320.333.922,669.798.095.918
-186.153.667.255,669.661.285.499
-185.987.000.589,669.518.219.783
-185.820.333.922,669.368.800.875
-185.653.667.255,66.921.308.963
-185.487.000.589,669.051.300.165
-185.320.333.922,668.883.791.901
-185.153.667.255,66.871.105.931
-184.987.000.589,668.533.719.544
-184.820.333.922,668.352.498.172
-184.653.667.255,668.168.213.285
-184.487.000.589,66.798.175.825
-184.320.333.922,667.794.083.421
-184.153.667.255,66.760.617.712
-183.987.000.589,66.741.904.624
-183.820.333.922,667.233.696.792
-183.653.667.255,667.051.114.756
-183.487.000.589,666.872.247.557
-183.320.333.922,666.697.986.492
-183.153.667.255,666.529.150.431
-182.987.000.589,66.636.647.105
-182.820.333.922,666.210.579.881
-182.653.667.255,66.606.199.737
-182.487.000.589,665.921.124.167
-182.320.333.922,665.788.234.749
-182.153.667.255,66.566.347.352
-181.987.000.589,665.546.853.409
-181.820.333.922,665.438.256.989
-181.653.667.255,665.337.440.078
-181.487.000.589,665.244.037.723
-181.320.333.922,665.157.572.444
-181.153.667.255,665.077.464.545
-180.987.000.589,665.003.044.298
-180.820.333.922,664.933.565.712
-180.653.667.255,664.868.221.635
-180.487.000.589,664.806.159.853
-180.320.333.922,664.746.499.862
-180.153.667.255,664.688.349.979
-179.987.000.589,66.463.082.443
-179.820.333.922,664.573.060.076
-179.653.667.255,664.514.232.439
-179.487.000.589,664.453.570.705
-179.320.333.922,664.390.371.414
-179.153.667.255,664.324.010.561
-178.987.000.589,664.253.953.884
-178.820.333.922,664.179.765.152
-178.653.667.255,664.101.112.298
-178.487.000.589,664.017.771.317
-178.320.333.922,663.929.627.863
-178.153.667.255,663.836.676.577
-177.987.000.589,663.739.018.174
-177.820.333.922,66.363.685.442
-177.653.667.255,663.530.481.137
-177.487.000.589,663.420.279.428
-177.320.333.922,663.306.705.377
-177.153.667.255,663.190.278.455
-176.987.000.589,663.071.568.955
-176.820.333.922,662.951.184.741
-176.653.667.255,662.829.757.646
-176.487.000.589,662.707.929.831
-176.320.333.922,662.586.340.426
-176.153.667.255,662.465.612.765
-175.987.000.589,662.346.342.492
-175.820.333.922,662.229.086.802
-175.653.667.255,662.114.355.052
-175.487.000.589,662.002.600.929
-175.320.333.922,661.894.216.327
-175.153.667.255,661.789.527.052
-174.987.000.589,661.688.790.411
-174.820.333.922,661.592.194.706
-174.653.667.255,661.499.860.624
-174.487.000.589,661.411.844.433
-174.320.333.922,661.328.142.907
-174.153.667.255,661.248.699.807
-173.987.000.589,661.173.413.783
-173.820.333.922,661.102.147.461
-173.653.667.255,661.034.737.525
-173.487.000.589,660.971.005.544
-173.320.333.922,66.091.076.931
-173.153.667.255,660.853.854.432
-172.987.000.589,660.800.105.959
-172.820.333.922,660.749.399.774
-172.653.667.255,660.701.653.557
-172.487.000.589,660.656.837.099
-172.320.333.922,660.614.981.782
-172.153.667.255,660.576.189.058
-171.987.000.589,660.540.637.793
-171.820.333.922,66.050.859.035
-171.653.667.255,660.480.397.325
-171.487.000.589,660.456.500.867
-171.320.333.922,660.437.436.543
-171.153.667.255,660.423.833.725
-170.987.000.589,660.416.414.491
-170.820.333.922,660.415.991.076
-170.653.667.255,660.423.461.886
-170.487.000.589,660.439.806.144
-170.320.333.922,660.466.077.211
-170.153.667.255,660.503.394.663
-169.987.000.589,660.552.935.205
-169.820.333.922,660.615.922.497
-169.653.667.255,660.693.615.997
-169.487.000.589,660.787.298.917
-169.320.333.922,66.089.826.539
-169.153.667.255,661.027.806.974
-168.987.000.589,661.177.198.583
-168.820.333.922,661.347.684.002
-168.653.667.255,66.154.046.108
-168.487.000.589,66.175.666.677
-168.320.333.922,661.997.362.132
-168.153.667.255,662.263.517.472
-167.987.000.589,662.555.997.768
-167.820.333.922,662.875.548.538
-167.653.667.255,663.222.782.348
-167.487.000.589,663.598.166.104
-167.320.333.922,664.002.009.324
-167.153.667.255,664.434.453.564
-166.987.000.589,664.895.463.157
